Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
dom,heft_test,59.41,2996.92,590.13,2406.79
dom,moheft_energy,60.35,3712.64,557.59,3155.05
dom,moheft_energy,101.99,1521.95,359.62,1162.32
dom,moheft_energy,102,1513.01,359.21,1153.79
dom,moheft_green_energy,60.01,4246.74,881.74,3365
dom,moheft_green_energy,156.71,2918.57,2760.36,158.21
dom,moheft_green_energy,158.78,2861.46,2713.64,147.82
fft,heft_test,192.97,14338.14,3727.42,10610.71
fft,moheft_energy,193.02,20047.69,4301.29,15746.4
fft,moheft_energy,314.86,9467.44,4111.96,5355.48
fft,moheft_energy,315.86,9452.08,4099.09,5352.99
fft,moheft_green_energy,194.3,19680.01,5032.75,14647.25
fft,moheft_green_energy,195.81,19631.57,5111.11,14520.47
fft,moheft_green_energy,489.32,11582.71,11031.08,551.62
nearest,heft_test,196.3,14479.88,3869.62,10610.26
nearest,moheft_energy,196.75,19648.04,4372.84,15275.19
nearest,moheft_energy,335.59,8714.75,4077.08,4637.67
nearest,moheft_energy,337.84,8708.07,4089.12,4618.95
nearest,moheft_green_energy,194.37,19028.5,5086.73,13941.77
nearest,moheft_green_energy,495.48,11708.87,11240.07,468.8
nearest,moheft_green_energy,496.18,11664.98,11201.12,463.86
no_comm,heft_test,194.41,14435.41,3842.45,10592.96
no_comm,moheft_energy,196.38,19987.13,4398.83,15588.29
no_comm,moheft_energy,307.43,10016.93,3962.74,6054.18
no_comm,moheft_energy,307.55,9998.09,3959.85,6038.25
no_comm,moheft_green_energy,194.31,20538.8,5473.6,15065.2
no_comm,moheft_green_energy,486.98,11767.95,11149.87,618.08
no_comm,moheft_green_energy,487.88,11777.57,11160.94,616.63
random_nearest,heft_test,192.48,14251.17,3728.95,10522.22
random_nearest,moheft_energy,193.14,20287.22,4121.89,16165.33
random_nearest,moheft_energy,330.47,9249.21,4104.14,5145.07
random_nearest,moheft_energy,330.73,9242.57,4116.34,5126.23
random_nearest,moheft_green_energy,195.29,18900.19,4651.19,14249
random_nearest,moheft_green_energy,491.84,11869.84,11326.54,543.31
random_nearest,moheft_green_energy,493.13,11901.51,11359.56,541.95
spread -period 2,heft_test,194.69,14382.25,3778.93,10603.32
spread -period 2,moheft_energy,195.42,19908.54,4231.13,15677.41
spread -period 2,moheft_energy,323.25,9275.33,4073.24,5202.09
spread -period 2,moheft_energy,323.46,9265.66,4078.12,5187.54
spread -period 2,moheft_green_energy,195.93,19760.4,4736.89,15023.51
spread -period 2,moheft_green_energy,482.99,11861.19,11233.38,627.81
spread -period 2,moheft_green_energy,483.55,11854.45,11235.2,619.25
stencil_1d,heft_test,196.47,14471,3847.66,10623.34
stencil_1d,moheft_energy,194.42,19307.67,4555.58,14752.08
stencil_1d,moheft_energy,324.77,9128.97,4002.77,5126.19
stencil_1d,moheft_energy,324.97,9110.47,4001.13,5109.33
stencil_1d,moheft_green_energy,194.03,19059.79,5092.16,13967.63
stencil_1d,moheft_green_energy,493.3,11780.59,11249.26,531.33
stencil_1d,moheft_green_energy,493.83,11761.76,11240.45,521.31
stencil_1d_periodic,heft_test,194.06,14377.99,3814.57,10563.42
stencil_1d_periodic,moheft_energy,196.16,19219.53,4283.79,14935.74
stencil_1d_periodic,moheft_energy,334.79,8897.38,4039.29,4858.1
stencil_1d_periodic,moheft_energy,335.21,8876.34,4029.72,4846.62
stencil_1d_periodic,moheft_green_energy,195.79,19929.04,5456.11,14472.93
stencil_1d_periodic,moheft_green_energy,488.06,11782.72,11277.76,504.96
stencil_1d_periodic,moheft_green_energy,488.19,11731.75,11231.24,500.51
tree,heft_test,192.88,13230.43,4010.48,9219.95
tree,moheft_energy,190.15,18653.68,4695.35,13958.34
tree,moheft_energy,306.41,9176.07,3820.92,5355.16
tree,moheft_energy,306.6,9172.22,3804.38,5367.84
tree,moheft_green_energy,191.47,17640.97,4833.95,12807.02
tree,moheft_green_energy,499.91,10938.4,10434.74,503.66
tree,moheft_green_energy,500.8,10922.5,10419.82,502.67
trivial,heft_test,176.24,14492.8,3722.52,10770.28
trivial,moheft_energy,176.24,20160.82,4211.62,15949.19
trivial,moheft_energy,300.54,9730.69,3889.2,5841.49
trivial,moheft_energy,300.97,9726.69,3876.55,5850.15
trivial,moheft_green_energy,176.24,21078.84,5434.96,15643.88
trivial,moheft_green_energy,879.04,11125.68,9495.61,1630.07
trivial,moheft_green_energy,879.55,11129.72,9505.89,1623.83
