Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,3189.16,11303.64
stencil_1d,heft_test,196.29,14486.4,1945.98,12540.42
stencil_1d_periodic,heft_test,193.9,14361.29,1977.01,12384.29
dom,heft_test,59.41,2996.92,310.99,2685.93
tree,heft_test,192.88,13230.43,2806.48,10423.95
fft,heft_test,192.98,14334.77,2041.51,12293.27
nearest,heft_test,194.0,14350.51,1985.84,12364.67
no_comm,heft_test,194.41,14435.44,1945.74,12489.7
spread -period 2,heft_test,195.73,14456.39,1942.62,12513.77
random_nearest,heft_test,192.35,14251.36,2086.26,12165.1
trivial,moheft_energy,176.24,20160.82,3549.04,16611.78,300.54,9730.69,4574.28,5156.41,300.97,9726.69,4582.94,5143.75
stencil_1d,moheft_energy,196.75,19648.04,2238.3,17409.73,335.59,8714.75,3618.73,5096.03,337.84,8708.07,3600.0,5108.06
stencil_1d_periodic,moheft_energy,196.03,19284.19,2261.25,17022.94,330.48,9003.95,3607.1,5396.84,330.89,8996.66,3599.75,5396.91
dom,moheft_energy,60.35,3712.64,331.68,3380.97,101.99,1521.95,886.38,635.56,102.0,1513.01,880.97,632.03
tree,moheft_energy,190.15,18653.68,3027.38,15626.3,306.41,9176.07,3594.48,5581.59,306.6,9172.22,3607.16,5565.06
fft,moheft_energy,192.77,20070.4,2454.8,17615.6,316.95,9421.68,3513.03,5908.65,317.57,9389.55,3507.3,5882.25
nearest,moheft_energy,194.42,19306.94,2249.72,17057.22,324.5,9151.51,3664.24,5487.27,325.11,9134.09,3664.77,5469.31
no_comm,moheft_energy,196.38,19987.49,2110.11,17877.38,307.43,10023.5,3640.22,6383.29,307.55,10004.67,3640.22,6364.45
spread -period 2,moheft_energy,195.15,19751.26,2148.38,17602.88,341.37,8679.12,3652.5,5026.62,341.91,8670.94,3660.89,5010.04
random_nearest,moheft_energy,193.11,19516.23,2220.0,17296.22,322.94,9725.14,3430.46,6294.68,323.66,9718.91,3428.45,6290.46
trivial,moheft_green_energy,176.12,20212.95,3626.82,16586.12,516.86,9585.05,6706.17,2878.88,524.2,9583.97,6708.45,2875.52
stencil_1d,moheft_green_energy,196.31,19461.83,2433.7,17028.13,517.71,9684.5,7696.47,1988.03,518.65,9689.75,7705.95,1983.8
stencil_1d_periodic,moheft_green_energy,194.43,20294.99,2520.64,17774.35,542.79,9889.85,8050.73,1839.13,542.98,9889.86,8058.12,1831.75
dom,moheft_green_energy,60.76,4056.08,364.46,3691.62,140.66,1579.49,1450.35,129.14,140.7,1572.18,1449.8,122.38
tree,moheft_green_energy,193.89,18828.88,3558.87,15270.01,473.6,8960.61,6308.15,2652.46,473.61,8960.62,6316.81,2643.81
fft,moheft_green_energy,194.02,20310.02,2527.26,17782.76,196.95,20145.92,2537.02,17608.9,590.99,9765.21,8403.46,1361.75
nearest,moheft_green_energy,196.31,19461.83,2433.7,17028.13,517.71,9684.5,7696.47,1988.03,518.65,9689.75,7705.95,1983.8
no_comm,moheft_green_energy,194.41,20027.76,2277.23,17750.53,550.0,9722.69,7975.56,1747.14,551.49,9722.87,7976.18,1746.69
spread -period 2,moheft_green_energy,194.48,20122.02,2263.22,17858.8,604.63,10164.89,8743.42,1421.47,605.92,10183.0,8765.72,1417.29
random_nearest,moheft_green_energy,193.47,19244.51,2198.89,17045.62,612.46,10268.48,8847.75,1420.73,613.83,10269.23,8850.77,1418.47
