Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,3479.94,15033.59
heft_test,stencil_1d,196.29,18890.49,2164.13,16726.36
heft_test,stencil_1d_periodic,193.9,18748.64,2214.22,16534.42
heft_test,dom,59.41,3944.51,372.73,3571.78
heft_test,tree,192.88,16876.34,3021.6,13854.74
heft_test,fft,192.97,18694.83,2300.84,16393.99
heft_test,nearest,196.29,18890.49,2164.13,16726.36
heft_test,no_comm,194.41,18843.11,2178.31,16664.79
heft_test,spread -period 2,194.69,18785.24,2177.92,16607.33
heft_test,random_nearest,193.55,18564.77,2329.44,16235.32
moheft_energy,trivial,177.3,28574.38,3669.88,24904.5
moheft_energy,trivial,364.89,10193.51,5153.1,5040.41
moheft_energy,trivial,374.72,10130.54,5229.57,4900.97
moheft_energy,stencil_1d,196.52,31443.22,2378.97,29064.26
moheft_energy,stencil_1d,351.44,9996.41,3828.05,6168.36
moheft_energy,stencil_1d,351.45,9979.27,3828.05,6151.22
moheft_energy,stencil_1d_periodic,193.91,32259.42,2471.11,29788.31
moheft_energy,stencil_1d_periodic,194.0,31795.73,2466.64,29329.1
moheft_energy,stencil_1d_periodic,352.53,10034.46,3987.99,6046.47
moheft_energy,dom,62.33,5080.68,402.91,4677.78
moheft_energy,dom,108.57,1736.67,1043.28,693.39
moheft_energy,dom,108.58,1736.4,1073.58,662.82
moheft_energy,tree,193.96,31081.65,3189.2,27892.45
moheft_energy,tree,356.97,10683.78,4027.32,6656.46
moheft_energy,tree,360.92,10683.53,4017.49,6666.04
moheft_energy,fft,194.13,32812.3,2652.56,30159.74
moheft_energy,fft,194.96,32242.67,2686.82,29555.84
moheft_energy,fft,349.4,9916.71,4030.23,5886.48
moheft_energy,nearest,196.52,31443.22,2378.97,29064.26
moheft_energy,nearest,351.44,9996.41,3828.05,6168.36
moheft_energy,nearest,351.45,9979.27,3828.05,6151.22
moheft_energy,no_comm,195.39,33776.19,2392.01,31384.18
moheft_energy,no_comm,195.59,33694.76,2379.13,31315.63
moheft_energy,no_comm,353.61,10004.34,4043.37,5960.97
moheft_energy,spread -period 2,195.77,34837.46,2254.58,32582.88
moheft_energy,spread -period 2,196.6,33614.27,2365.49,31248.78
moheft_energy,spread -period 2,355.98,9742.02,3991.45,5750.57
moheft_energy,random_nearest,194.03,31846.93,2497.83,29349.1
moheft_energy,random_nearest,194.94,31713.04,2508.85,29204.19
moheft_energy,random_nearest,354.34,10216.9,3953.82,6263.08
moheft_green_energy,trivial,176.24,30486.18,3832.69,26653.49
moheft_green_energy,trivial,529.15,13908.48,9121.34,4787.14
moheft_green_energy,stencil_1d,196.4,30980.26,2353.77,28626.49
moheft_green_energy,stencil_1d,415.95,30735.71,8403.49,22332.23
moheft_green_energy,stencil_1d,1085.9,14746.76,14268.99,477.77
moheft_green_energy,stencil_1d_periodic,193.97,33918.7,2342.87,31575.82
moheft_green_energy,stencil_1d_periodic,474.87,31679.67,9622.24,22057.43
moheft_green_energy,stencil_1d_periodic,476.96,31694.07,9670.31,22023.77
moheft_green_energy,dom,61.12,6348.32,431.68,5916.64
moheft_green_energy,dom,295.81,2664.42,2664.13,0.28
moheft_green_energy,dom,312.45,2624.77,2624.77,0.0
moheft_green_energy,tree,192.92,31877.15,3406.46,28470.69
moheft_green_energy,tree,251.59,29468.9,5393.45,24075.45
moheft_green_energy,tree,1257.1,13009.69,10641.96,2367.73
moheft_green_energy,fft,194.3,32988.39,2329.46,30658.92
moheft_green_energy,fft,458.96,31010.7,9070.05,21940.66
moheft_green_energy,fft,981.13,16983.99,16839.27,144.72
moheft_green_energy,nearest,196.15,31472.18,2738.31,28733.87
moheft_green_energy,nearest,233.22,31513.11,3923.2,27589.92
moheft_green_energy,nearest,976.47,17489.2,17179.85,309.35
moheft_green_energy,no_comm,194.48,33459.0,2213.61,31245.39
moheft_green_energy,no_comm,478.74,32458.64,9864.61,22594.03
moheft_green_energy,no_comm,1073.47,14870.22,14543.64,326.58
moheft_green_energy,spread -period 2,194.58,36249.53,2302.62,33946.91
moheft_green_energy,spread -period 2,456.06,36273.18,10749.53,25523.65
moheft_green_energy,spread -period 2,1046.87,16120.34,16039.84,80.5
moheft_green_energy,random_nearest,194.14,35047.52,2340.36,32707.16
moheft_green_energy,random_nearest,462.48,32176.9,9699.19,22477.71
moheft_green_energy,random_nearest,1054.48,15753.82,15443.87,309.94
