Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,4446.97,14066.56
heft_test,stencil_1d,196.29,18890.49,4666.11,14224.38
heft_test,stencil_1d_periodic,193.9,18748.64,4581.79,14166.84
heft_test,dom,59.41,3944.51,757.67,3186.84
heft_test,tree,192.88,16876.34,4795.94,12080.4
heft_test,fft,192.97,18694.83,4519.09,14175.74
heft_test,nearest,196.29,18890.49,4666.11,14224.38
heft_test,no_comm,194.41,18843.11,4644.18,14198.92
heft_test,spread -period 2,194.69,18785.24,4566.75,14218.49
heft_test,random_nearest,193.55,18564.77,4539.16,14025.61
moheft_energy,trivial,176.24,31405.06,5053.27,26351.79
moheft_energy,trivial,330.54,12444.26,6836.69,5607.57
moheft_energy,trivial,331.66,12441.06,6833.49,5607.57
moheft_energy,trivial,333.71,12436.07,6828.5,5607.57
moheft_energy,trivial,334.52,12430.16,6798.69,5631.47
moheft_energy,trivial,340.6,12381.0,6696.97,5684.03
moheft_energy,trivial,343.77,12369.41,6685.47,5683.94
moheft_energy,trivial,347.3,12352.3,6649.26,5703.04
moheft_energy,trivial,351.78,12311.94,6551.63,5760.32
moheft_energy,trivial,360.73,12283.26,6446.48,5836.77
moheft_energy,trivial,363.89,12282.99,6446.22,5836.77
moheft_energy,stencil_1d,196.16,32889.87,6457.09,26432.79
moheft_energy,stencil_1d,196.81,32883.06,6423.4,26459.66
moheft_energy,stencil_1d,197.0,32877.25,6419.74,26457.51
moheft_energy,stencil_1d,334.67,11370.61,4968.19,6402.42
moheft_energy,stencil_1d,347.89,10061.28,4941.66,5119.62
moheft_energy,stencil_1d,348.14,10060.19,4953.35,5106.85
moheft_energy,stencil_1d,348.14,10055.29,4953.35,5101.94
moheft_energy,stencil_1d,348.26,10054.71,4969.75,5084.96
moheft_energy,stencil_1d,348.32,10051.47,4943.8,5107.67
moheft_energy,stencil_1d,348.51,10022.28,4923.16,5099.12
moheft_energy,stencil_1d,351.7,10001.48,4936.75,5064.72
moheft_energy,stencil_1d_periodic,193.46,32521.26,5752.45,26768.8
moheft_energy,stencil_1d_periodic,194.84,32465.48,5725.61,26739.87
moheft_energy,stencil_1d_periodic,351.34,9968.24,4737.15,5231.1
moheft_energy,stencil_1d_periodic,353.03,9931.03,4766.86,5164.17
moheft_energy,stencil_1d_periodic,354.55,9758.52,4736.84,5021.68
moheft_energy,stencil_1d_periodic,354.59,9727.85,4733.52,4994.33
moheft_energy,stencil_1d_periodic,354.59,9725.92,4745.99,4979.93
moheft_energy,stencil_1d_periodic,355.03,9713.39,4763.76,4949.63
moheft_energy,stencil_1d_periodic,355.15,9713.09,4734.59,4978.5
moheft_energy,stencil_1d_periodic,355.76,9680.25,4719.69,4960.56
moheft_energy,stencil_1d_periodic,356.26,9656.86,4705.17,4951.7
moheft_energy,dom,61.41,5282.63,803.27,4479.36
moheft_energy,dom,108.38,1794.83,395.37,1399.46
moheft_energy,dom,110.41,1793.61,424.21,1369.4
moheft_energy,dom,110.42,1789.93,424.21,1365.72
moheft_energy,dom,110.42,1767.93,395.37,1372.56
moheft_energy,dom,112.49,1766.74,424.21,1342.54
moheft_energy,dom,112.49,1752.56,395.37,1357.19
moheft_energy,dom,112.5,1741.07,395.37,1345.7
moheft_energy,dom,116.89,1730.0,448.04,1281.96
moheft_energy,dom,117.03,1724.56,445.91,1278.65
moheft_energy,dom,118.56,1720.07,462.44,1257.63
moheft_energy,tree,192.87,30767.16,6703.89,24063.27
moheft_energy,tree,356.9,9413.22,4961.06,4452.15
moheft_energy,tree,357.18,9410.81,4957.76,4453.05
moheft_energy,tree,358.6,9391.13,4933.34,4457.79
moheft_energy,tree,359.35,9384.1,4927.62,4456.48
moheft_energy,tree,364.99,9379.76,4888.22,4491.54
moheft_energy,tree,365.85,9376.87,4872.86,4504.0
moheft_energy,tree,366.25,9374.58,4857.51,4517.07
moheft_energy,tree,367.24,9362.36,4851.74,4510.62
moheft_energy,tree,367.86,9362.09,4851.47,4510.62
moheft_energy,tree,368.0,9356.28,4836.12,4520.17
moheft_energy,fft,192.44,32423.33,5622.48,26800.85
moheft_energy,fft,192.61,32390.18,5632.03,26758.15
moheft_energy,fft,192.83,32382.11,5613.37,26768.74
moheft_energy,fft,192.86,32334.51,5567.47,26767.05
moheft_energy,fft,340.81,10574.2,4857.49,5716.71
moheft_energy,fft,345.52,10141.03,4921.46,5219.57
moheft_energy,fft,345.86,10096.29,4903.3,5192.98
moheft_energy,fft,346.2,10081.4,4877.2,5204.21
moheft_energy,fft,346.81,10053.04,4859.37,5193.67
moheft_energy,fft,346.83,10050.58,4872.47,5178.11
moheft_energy,fft,356.72,10017.48,4863.48,5154.0
moheft_energy,nearest,196.16,32889.87,6457.09,26432.79
moheft_energy,nearest,196.81,32883.06,6423.4,26459.66
moheft_energy,nearest,197.0,32877.25,6419.74,26457.51
moheft_energy,nearest,334.67,11370.61,4968.19,6402.42
moheft_energy,nearest,347.89,10061.28,4941.66,5119.62
moheft_energy,nearest,348.14,10060.19,4953.35,5106.85
moheft_energy,nearest,348.14,10055.29,4953.35,5101.94
moheft_energy,nearest,348.26,10054.71,4969.75,5084.96
moheft_energy,nearest,348.32,10051.47,4943.8,5107.67
moheft_energy,nearest,348.51,10022.28,4923.16,5099.12
moheft_energy,nearest,351.7,10001.48,4936.75,5064.72
moheft_energy,no_comm,323.49,14090.03,4693.83,9396.21
moheft_energy,no_comm,346.64,10075.19,4798.85,5276.34
moheft_energy,no_comm,346.92,10048.28,4808.45,5239.83
moheft_energy,no_comm,347.18,10024.62,4794.2,5230.42
moheft_energy,no_comm,348.2,10018.67,4787.08,5231.59
moheft_energy,no_comm,348.32,10005.58,4767.27,5238.31
moheft_energy,no_comm,348.98,9995.97,4767.27,5228.7
moheft_energy,no_comm,349.71,9986.25,4757.24,5229.01
moheft_energy,no_comm,349.74,9984.03,4769.72,5214.31
moheft_energy,no_comm,350.92,9983.79,4769.47,5214.31
moheft_energy,no_comm,350.95,9983.51,4769.2,5214.31
moheft_energy,spread -period 2,195.75,33222.36,5720.84,27501.53
moheft_energy,spread -period 2,196.47,33222.17,5739.33,27482.84
moheft_energy,spread -period 2,196.54,33192.96,5752.44,27440.52
moheft_energy,spread -period 2,332.46,11640.94,4809.74,6831.2
moheft_energy,spread -period 2,345.99,10124.92,4865.09,5259.83
moheft_energy,spread -period 2,345.99,10095.89,4878.19,5217.7
moheft_energy,spread -period 2,346.11,10045.41,4824.92,5220.49
moheft_energy,spread -period 2,346.32,10021.94,4818.95,5202.99
moheft_energy,spread -period 2,346.46,9991.27,4790.37,5200.9
moheft_energy,spread -period 2,346.85,9962.07,4768.83,5193.25
moheft_energy,spread -period 2,346.88,9941.16,4761.03,5180.13
moheft_energy,random_nearest,338.36,12826.96,4952.38,7874.58
moheft_energy,random_nearest,357.32,9826.7,4905.77,4920.93
moheft_energy,random_nearest,357.51,9826.37,4920.45,4905.93
moheft_energy,random_nearest,357.54,9795.7,4905.33,4890.37
moheft_energy,random_nearest,357.6,9792.5,4884.12,4908.38
moheft_energy,random_nearest,357.84,9782.46,4872.59,4909.87
moheft_energy,random_nearest,358.48,9771.87,4887.67,4884.21
moheft_energy,random_nearest,358.96,9742.92,4865.58,4877.34
moheft_energy,random_nearest,359.41,9717.18,4865.47,4851.71
moheft_energy,random_nearest,361.79,9701.8,4900.37,4801.43
moheft_energy,random_nearest,361.84,9660.82,4853.54,4807.28
moheft_green_energy,trivial,175.95,32372.85,8354.17,24018.68
moheft_green_energy,trivial,184.01,31590.27,8847.58,22742.68
moheft_green_energy,trivial,184.3,31461.84,8828.31,22633.53
moheft_green_energy,trivial,184.49,31450.22,8828.31,22621.91
moheft_green_energy,trivial,188.55,31591.88,8991.91,22599.96
moheft_green_energy,trivial,840.31,13755.77,11865.49,1890.28
moheft_green_energy,trivial,846.49,13764.69,11905.23,1859.46
moheft_green_energy,trivial,849.97,13788.91,11930.53,1858.38
moheft_green_energy,trivial,851.32,13792.07,11942.06,1850.02
moheft_green_energy,trivial,870.64,13890.37,12040.36,1850.01
moheft_green_energy,trivial,875.47,13912.21,12064.24,1847.97
moheft_green_energy,stencil_1d,194.17,31797.46,7413.68,24383.78
moheft_green_energy,stencil_1d,215.68,31337.61,8428.78,22908.83
moheft_green_energy,stencil_1d,216.13,31370.67,8467.47,22903.2
moheft_green_energy,stencil_1d,216.98,31376.21,8474.94,22901.27
