makespan,brown energy,algorithm,topology
176.24,10253.1,HEFT,trivial
194,10836.27,HEFT,stencil_1d
193.9,10865.64,HEFT,stencil_1d_periodic
59.41,2246.75,HEFT,dom
192.89,9184.12,HEFT,tree
193.13,10799.32,HEFT,fft
194.41,10907.49,HEFT,no_comm
194.94,10896.15,HEFT,spread -period 2
176.24,10253.1,MOHEFT,trivial
344.33,2970.87,MOHEFT,trivial
344.58,2991.04,MOHEFT,trivial
195.5,10940.35,MOHEFT,stencil_1d
348.69,2839.34,MOHEFT,stencil_1d
349.88,2842.04,MOHEFT,stencil_1d
196.15,10909.23,MOHEFT,stencil_1d_periodic
353.8,2904.36,MOHEFT,stencil_1d_periodic
353.9,2872.96,MOHEFT,stencil_1d_periodic
62.49,2256.3,MOHEFT,dom
100.37,404.22,MOHEFT,dom
102.34,399.25,MOHEFT,dom
188.94,9069.74,MOHEFT,tree
376.6,2759.61,MOHEFT,tree
377.36,2772.04,MOHEFT,tree
193.23,10766.85,MOHEFT,fft
345.35,2848.9,MOHEFT,fft
345.94,2853.56,MOHEFT,fft
204.51,10845.41,MOHEFT,no_comm
360.84,2860.22,MOHEFT,no_comm
360.9,2846.23,MOHEFT,no_comm
195.94,10880.46,MOHEFT,spread -period 2
348.35,2950.29,MOHEFT,spread -period 2
348.93,2887.71,MOHEFT,spread -period 2
176.24,10253.1,G-MOHEFT,trivial
778.69,809.68,G-MOHEFT,trivial
788.75,802.34,G-MOHEFT,trivial
196.96,10839.96,G-MOHEFT,stencil_1d
455.26,282.33,G-MOHEFT,stencil_1d
455.29,273.39,G-MOHEFT,stencil_1d
197.1,10805.38,G-MOHEFT,stencil_1d_periodic
457.92,285.35,G-MOHEFT,stencil_1d_periodic
458.65,274.72,G-MOHEFT,stencil_1d_periodic
60.51,2180.14,G-MOHEFT,dom
110.62,71.84,G-MOHEFT,dom
112.66,65.52,G-MOHEFT,dom
190.26,8994.95,G-MOHEFT,tree
473.03,294.41,G-MOHEFT,tree
473.61,285.82,G-MOHEFT,tree
193.91,10648.7,G-MOHEFT,fft
448.76,278.59,G-MOHEFT,fft
451.23,271.2,G-MOHEFT,fft
195.78,10846.47,G-MOHEFT,no_comm
445.98,276.02,G-MOHEFT,no_comm
446.89,267.63,G-MOHEFT,no_comm
196.75,10881.09,G-MOHEFT,spread -period 2
453.74,284.54,G-MOHEFT,spread -period 2
456.34,273.68,G-MOHEFT,spread -period 2
