makespan,brown energy,algorithm,topology
176.24,10922.66,HEFT,trivial
194,10717.97,HEFT,stencil_1d
193.9,10720.77,HEFT,stencil_1d_periodic
59.41,2438.31,HEFT,dom
192.76,9337.86,HEFT,tree
192.97,10757.24,HEFT,fft
194.41,10736.66,HEFT,no_comm
195.73,10787.17,HEFT,spread -period 2
176.24,10922.66,MOHEFT,trivial
344.33,4435.19,MOHEFT,trivial
344.58,4417.29,MOHEFT,trivial
194.8,10691.33,MOHEFT,stencil_1d
348.15,4117.9,MOHEFT,stencil_1d
350.19,4121.16,MOHEFT,stencil_1d
196.09,10715.99,MOHEFT,stencil_1d_periodic
353.93,4134.37,MOHEFT,stencil_1d_periodic
354.6,4148.76,MOHEFT,stencil_1d_periodic
62.49,2408.8,MOHEFT,dom
100.37,1112.09,MOHEFT,dom
102.34,1116.2,MOHEFT,dom
188.67,9215.92,MOHEFT,tree
376.14,3512.37,MOHEFT,tree
376.86,3498.94,MOHEFT,tree
192.78,10695.51,MOHEFT,fft
347.13,4131.53,MOHEFT,fft
347.3,4116.72,MOHEFT,fft
205.07,10639.81,MOHEFT,no_comm
357.97,4109.88,MOHEFT,no_comm
358.21,4095.99,MOHEFT,no_comm
195.06,10694.67,MOHEFT,spread -period 2
348.35,4156.99,MOHEFT,spread -period 2
348.93,4150.86,MOHEFT,spread -period 2
176.24,10930.08,G-MOHEFT,trivial
308.3,7854,G-MOHEFT,trivial
909.08,1596.12,G-MOHEFT,trivial
196.76,10553.92,G-MOHEFT,stencil_1d
510.12,315.53,G-MOHEFT,stencil_1d
511.52,311.88,G-MOHEFT,stencil_1d
196.25,10544.98,G-MOHEFT,stencil_1d_periodic
515.12,316.07,G-MOHEFT,stencil_1d_periodic
515.2,312.23,G-MOHEFT,stencil_1d_periodic
63.11,2461.99,G-MOHEFT,dom
159,137.41,G-MOHEFT,dom
159.42,105.3,G-MOHEFT,dom
189.74,9268.04,G-MOHEFT,tree
577.37,350.38,G-MOHEFT,tree
577.65,348.27,G-MOHEFT,tree
193.37,10503.34,G-MOHEFT,fft
510.01,315.59,G-MOHEFT,fft
510.15,311.2,G-MOHEFT,fft
201.66,10506.89,G-MOHEFT,no_comm
511.07,315.57,G-MOHEFT,no_comm
511.88,312.54,G-MOHEFT,no_comm
195.86,10585.69,G-MOHEFT,spread -period 2
503.9,315.88,G-MOHEFT,spread -period 2
507.98,313.57,G-MOHEFT,spread -period 2
