Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,8190.84,6301.96
stencil_1d,heft_test,196.69,14476.89,7828.88,6648.01
stencil_1d_periodic,heft_test,193.9,14361.29,7811.51,6549.79
dom,heft_test,59.41,2996.92,1883.36,1113.56
tree,heft_test,192.92,13202.57,6967.55,6235.02
fft,heft_test,192.98,14337.13,7814.63,6522.5
nearest,heft_test,196.29,14484.99,7837.63,6647.36
no_comm,heft_test,194.41,14435.44,7815.14,6620.3
spread -period 2,heft_test,194.69,14381.87,7819.36,6562.51
random_nearest,heft_test,193.55,14254.74,7763.25,6491.49
trivial,moheft_energy,176.24,20160.82,8491.84,11668.98,300.54,9730.69,4313.11,5417.58,300.97,9726.69,4313.11,5413.58
stencil_1d,moheft_energy,196.75,19648.04,8154.3,11493.74,335.59,8714.75,3225.86,5488.9,337.84,8708.07,3226.15,5481.92
stencil_1d_periodic,moheft_energy,195.63,19529.16,8113.7,11415.46,330.19,9040.19,3574.92,5465.27,332.13,9021.34,3574.92,5446.42
dom,moheft_energy,60.35,3712.64,1968.85,1743.79,101.99,1521.95,487.18,1034.77,102.0,1513.01,485.75,1027.25
tree,moheft_energy,190.33,18692.37,7103.66,11588.71,311.8,9510.78,4161.65,5349.13,314.62,9489.24,4174.63,5314.62
fft,moheft_energy,192.94,19840.42,8085.92,11754.5,319.45,9210.91,3893.87,5317.04,323.02,9206.59,3894.89,5311.7
nearest,moheft_energy,194.22,19354.28,8192.53,11161.75,335.92,8746.82,3321.02,5425.8,335.94,8746.55,3321.02,5425.53
no_comm,moheft_energy,196.38,19987.49,8035.55,11951.94,307.43,10023.5,3816.26,6207.25,307.55,10004.67,3784.74,6219.93
spread -period 2,moheft_energy,195.15,19751.26,8048.98,11702.27,341.37,8679.12,3110.12,5569.0,341.91,8670.94,3109.83,5561.11
random_nearest,moheft_energy,193.26,19417.25,8021.95,11395.31,317.54,9859.56,3932.6,5926.96,317.85,9855.59,3942.13,5913.46
trivial,moheft_green_energy,176.24,20722.39,8790.61,11931.78,416.5,12342.81,8276.7,4066.11,416.62,12342.82,8285.36,4057.47
stencil_1d,moheft_green_energy,194.05,19564.94,8573.01,10991.94,596.7,12898.71,11610.36,1288.36,599.6,12932.0,11667.86,1264.14
stencil_1d_periodic,moheft_green_energy,196.18,19391.57,8074.94,11316.63,625.91,12763.76,11714.93,1048.82,628.78,12793.39,11772.34,1021.05
dom,moheft_green_energy,61.11,4103.06,2197.3,1905.75,182.59,1928.75,1880.34,48.41,182.59,1924.73,1877.14,47.6
tree,moheft_green_energy,193.88,17094.05,7906.2,9187.84,930.15,11016.26,9109.97,1906.29
fft,moheft_green_energy,193.86,19325.95,8263.74,11062.22,621.91,12990.47,11987.38,1003.09,622.21,12999.72,12004.7,995.02
nearest,moheft_green_energy,195.76,20359.77,8638.02,11721.75,592.06,13164.93,11841.93,1323.0,592.16,13168.98,11854.61,1314.36
no_comm,moheft_green_energy,196.27,19472.61,8366.56,11106.05,627.46,13056.9,12076.62,980.28,630.37,13082.86,12109.52,973.34
spread -period 2,moheft_green_energy,195.29,19624.69,8059.22,11565.48,613.28,13237.61,12247.84,989.77,613.41,13239.03,12259.44,979.59
random_nearest,moheft_green_energy,193.38,19530.7,8219.68,11311.02,661.88,12981.26,12450.82,530.43,662.78,12927.69,12400.08,527.6
