Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,4355.9,10136.89
stencil_1d,heft_test,196.41,14479.26,3655.47,10823.78
stencil_1d_periodic,heft_test,193.89,14362.9,3621.52,10741.38
dom,heft_test,59.41,2996.92,775.57,2221.35
tree,heft_test,193.26,13211.38,4127.55,9083.83
fft,heft_test,192.97,14336.57,3653.01,10683.56
nearest,heft_test,194.0,14350.51,3637.7,10712.81
no_comm,heft_test,194.41,14435.44,3650.45,10784.98
spread -period 2,heft_test,195.09,14385.79,3622.03,10763.76
random_nearest,heft_test,192.55,14249.87,3726.5,10523.36
trivial,moheft_energy,176.24,21048.68,6044.9,15003.77
trivial,moheft_energy,285.45,9771.17,5936.79,3834.37
trivial,moheft_energy,286.31,9753.79,5924.17,3829.61
trivial,moheft_energy,286.87,9734.57,5908.69,3825.89
trivial,moheft_energy,287.4,9719.45,5878.17,3841.28
trivial,moheft_energy,288.32,9701.72,5860.25,3841.47
trivial,moheft_energy,288.44,9674.73,5823.45,3851.28
trivial,moheft_energy,288.53,9651.76,5800.48,3851.28
trivial,moheft_energy,288.72,9628.79,5777.51,3851.28
trivial,moheft_energy,288.75,9609.85,5745.89,3863.96
trivial,moheft_energy,288.75,9590.91,5726.95,3863.96
stencil_1d,moheft_energy,196.41,20734.76,5843.5,14891.25
stencil_1d,moheft_energy,339.17,8581.98,5092.09,3489.89
stencil_1d,moheft_energy,339.19,8559.81,5092.09,3467.72
stencil_1d,moheft_energy,339.58,8543.13,5092.09,3451.04
stencil_1d,moheft_energy,339.59,8537.31,5094.16,3443.15
stencil_1d,moheft_energy,340.17,8524.32,5123.68,3400.63
stencil_1d,moheft_energy,340.23,8505.56,5135.88,3369.68
stencil_1d,moheft_energy,340.37,8486.65,5135.88,3350.77
stencil_1d,moheft_energy,340.5,8464.48,5157.89,3306.6
stencil_1d,moheft_energy,341.5,8459.98,5152.77,3307.21
stencil_1d,moheft_energy,341.93,8459.67,5152.46,3307.21
stencil_1d_periodic,moheft_energy,194.42,20705.05,5575.6,15129.44
stencil_1d_periodic,moheft_energy,333.55,8887.52,5152.19,3735.33
stencil_1d_periodic,moheft_energy,333.93,8884.53,5151.73,3732.79
stencil_1d_periodic,moheft_energy,335.91,8849.18,5164.38,3684.81
stencil_1d_periodic,moheft_energy,336.0,8834.12,5179.16,3654.96
stencil_1d_periodic,moheft_energy,336.64,8826.04,5195.28,3630.76
stencil_1d_periodic,moheft_energy,336.7,8803.76,5205.08,3598.68
stencil_1d_periodic,moheft_energy,336.98,8785.01,5217.28,3567.73
stencil_1d_periodic,moheft_energy,336.98,8766.26,5229.48,3536.77
stencil_1d_periodic,moheft_energy,337.7,8721.92,5216.4,3505.52
stencil_1d_periodic,moheft_energy,338.85,8707.96,5216.59,3491.37
dom,moheft_energy,62.01,3797.48,1014.83,2782.65
dom,moheft_energy,101.31,1549.61,1038.77,510.84
dom,moheft_energy,101.31,1549.58,1038.77,510.81
dom,moheft_energy,101.42,1549.55,1051.72,497.84
dom,moheft_energy,103.26,1533.15,1091.19,441.96
dom,moheft_energy,103.26,1533.12,1091.17,441.96
dom,moheft_energy,103.28,1533.1,1091.14,441.96
dom,moheft_energy,103.27,1533.07,1091.11,441.96
dom,moheft_energy,103.38,1533.01,1039.46,493.55
