Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,3189.16,11303.64
stencil_1d,heft_test,196.1,14476.88,1952.13,12524.76
stencil_1d_periodic,heft_test,194.57,14375.91,1966.89,12409.02
dom,heft_test,59.41,2996.92,310.99,2685.93
tree,heft_test,193.47,13219.95,2808.79,10411.16
fft,heft_test,193.07,14309.14,2033.06,12276.08
nearest,heft_test,196.29,14484.99,1936.38,12548.61
no_comm,heft_test,194.41,14435.44,1945.74,12489.7
spread -period 2,heft_test,195.48,14382.99,1936.06,12446.93
random_nearest,heft_test,192.35,14251.33,2086.17,12165.16
trivial,moheft_energy,176.24,20339.89,3361.59,16978.3
stencil_1d,moheft_energy,197.11,18402.6,2114.7,16287.91
stencil_1d_periodic,moheft_energy,196.18,18683.1,2197.97,16485.13
dom,moheft_energy,60.78,4077.67,378.22,3699.46
tree,moheft_energy,190.15,18173.8,2894.04,15279.75
fft,moheft_energy,193.06,19428.6,2190.76,17237.84
nearest,moheft_energy,196.33,18852.04,2154.7,16697.34
no_comm,moheft_energy,194.52,19305.11,2142.26,17162.85
spread -period 2,moheft_energy,195.1,19273.74,2061.06,17212.68
random_nearest,moheft_energy,193.93,18252.27,2272.34,15979.93
trivial,moheft_green_energy,176.24,20434.15,3475.58,16958.57
stencil_1d,moheft_green_energy,196.88,18617.47,2132.49,16484.98
stencil_1d_periodic,moheft_green_energy,195.07,19479.91,2226.23,17253.68
dom,moheft_green_energy,60.91,3997.4,362.46,3634.94
tree,moheft_green_energy,193.14,17995.47,3055.79,14939.68
fft,moheft_green_energy,194.1,20227.58,2197.77,18029.81
nearest,moheft_green_energy,194.03,18904.21,2217.65,16686.56
no_comm,moheft_green_energy,194.41,19610.21,2089.18,17521.03
spread -period 2,moheft_green_energy,194.48,19949.63,2078.82,17870.81
random_nearest,moheft_green_energy,193.91,18788.13,2332.46,16455.67
