Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,0.0,18513.53
heft_test,stencil_1d,194.0,18722.16,0.0,18722.16
heft_test,stencil_1d_periodic,193.9,18748.64,0.0,18748.64
heft_test,dom,59.41,3944.51,0.0,3944.51
heft_test,tree,192.88,16876.34,0.0,16876.34
heft_test,fft,192.97,18694.83,0.0,18694.83
heft_test,nearest,196.29,18890.49,0.0,18890.49
heft_test,no_comm,194.41,18843.11,0.0,18843.11
heft_test,spread -period 2,194.69,18785.24,0.0,18785.24
heft_test,random_nearest,193.55,18564.77,0.0,18564.77
moheft_energy,trivial,177.3,28574.38,0.0,28574.38,364.89,10193.51,0.0,10193.51,374.72,10130.54,0.0,10130.54
moheft_energy,stencil_1d,196.52,31443.22,0.0,31443.22,351.44,9996.41,0.0,9996.41,351.45,9979.27,0.0,9979.27
moheft_energy,stencil_1d_periodic,193.91,32259.42,0.0,32259.42,194.0,31795.73,0.0,31795.73,352.53,10034.46,0.0,10034.46
moheft_energy,dom,62.33,5080.68,0.0,5080.68,108.57,1736.67,0.0,1736.67,108.58,1736.4,0.0,1736.4
moheft_energy,tree,193.96,31081.65,0.0,31081.65,356.97,10683.78,0.0,10683.78,360.92,10683.53,0.0,10683.53
moheft_energy,fft,194.13,32812.3,0.0,32812.3,194.96,32242.67,0.0,32242.67,349.4,9916.71,0.0,9916.71
moheft_energy,nearest,195.87,30707.34,0.0,30707.34,341.77,10390.6,0.0,10390.6,341.86,10390.33,0.0,10390.33
moheft_energy,no_comm,195.39,33776.19,0.0,33776.19,195.59,33694.76,0.0,33694.76,353.61,10004.34,0.0,10004.34
moheft_energy,spread -period 2,195.77,34837.46,0.0,34837.46,196.6,33614.27,0.0,33614.27,355.98,9742.02,0.0,9742.02
moheft_energy,random_nearest,194.03,31846.93,0.0,31846.93,194.94,31713.04,0.0,31713.04,354.34,10216.9,0.0,10216.9
moheft_green_energy,trivial,177.3,28574.38,0.0,28574.38,364.89,10193.51,0.0,10193.51,374.72,10130.54,0.0,10130.54
moheft_green_energy,stencil_1d,196.52,31443.22,0.0,31443.22,351.44,9996.41,0.0,9996.41,351.45,9979.27,0.0,9979.27
moheft_green_energy,stencil_1d_periodic,193.91,32259.42,0.0,32259.42,194.0,31795.73,0.0,31795.73,352.53,10034.46,0.0,10034.46
moheft_green_energy,dom,62.33,5080.68,0.0,5080.68,108.57,1736.67,0.0,1736.67,108.58,1736.4,0.0,1736.4
moheft_green_energy,tree,193.96,31081.65,0.0,31081.65,356.97,10683.78,0.0,10683.78,360.92,10683.53,0.0,10683.53
moheft_green_energy,fft,194.13,32812.3,0.0,32812.3,194.96,32242.67,0.0,32242.67,349.4,9916.71,0.0,9916.71
moheft_green_energy,nearest,196.52,31443.22,0.0,31443.22,351.44,9996.41,0.0,9996.41,351.45,9979.27,0.0,9979.27
moheft_green_energy,no_comm,195.39,33776.19,0.0,33776.19,195.59,33694.76,0.0,33694.76,353.61,10004.34,0.0,10004.34
moheft_green_energy,spread -period 2,195.77,34837.46,0.0,34837.46,196.6,33614.27,0.0,33614.27,355.98,9742.02,0.0,9742.02
moheft_green_energy,random_nearest,194.03,31844.94,0.0,31844.94,194.94,31711.06,0.0,31711.06,354.34,10216.9,0.0,10216.9
