Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,dom,59.41,3944.51,757.67,3186.84
moheft_energy,dom,62.33,5080.68,1025.49,4055.2
moheft_energy,dom,108.57,1736.67,362.22,1374.45
moheft_energy,dom,108.58,1736.4,384.37,1352.03
moheft_green_energy,dom,59.63,6445.3,1265.77,5179.52
moheft_green_energy,dom,198.36,3186.82,3186.57,0.25
moheft_green_energy,dom,200.43,3163.81,3163.81,0
heft_test,fft,192.97,18694.83,4519.09,14175.74
moheft_energy,fft,194.13,32812.3,5061.12,27751.18
moheft_energy,fft,194.96,32242.67,5128.02,27114.64
moheft_energy,fft,349.4,9916.71,4729.08,5187.63
moheft_green_energy,fft,194.49,33456.62,5385.26,28071.36
moheft_green_energy,fft,300.2,32277.93,10514.72,21763.22
moheft_green_energy,fft,587.23,13213.44,13017.96,195.49
heft_test,nearest,196.29,18890.49,4666.11,14224.38
moheft_energy,nearest,196.17,31023.86,6181.36,24842.5
moheft_energy,nearest,340,10335.58,4824.46,5511.12
moheft_energy,nearest,340.05,10311.95,4815.06,5496.89
moheft_green_energy,nearest,196.92,30352.13,5802.29,24549.84
moheft_green_energy,nearest,327.48,31936.59,10380.01,21556.58
moheft_green_energy,nearest,608.66,12985.07,12931.18,53.89
heft_test,no_comm,194.41,18843.11,4644.18,14198.92
moheft_energy,no_comm,195.39,33776.19,5242.06,28534.14
moheft_energy,no_comm,195.59,33694.76,5240.81,28453.95
moheft_energy,no_comm,353.61,10004.34,4659.23,5345.11
moheft_green_energy,no_comm,194.56,32572.89,6334.24,26238.66
moheft_green_energy,no_comm,414.34,34717.89,13073.14,21644.75
moheft_green_energy,no_comm,454.17,35683.92,14040.45,21643.47
heft_test,random_nearest,193.55,18564.77,4539.16,14025.61
moheft_energy,random_nearest,194.03,31846.93,5284.48,26562.45
moheft_energy,random_nearest,194.94,31713.04,5264.03,26449.01
moheft_energy,random_nearest,354.34,10216.9,4744.09,5472.81
moheft_green_energy,random_nearest,192.21,34180.23,5515.03,28665.2
moheft_green_energy,random_nearest,339.61,33002,11450.63,21551.37
moheft_green_energy,random_nearest,610.92,13260.72,13248.65,12.07
heft_test,spread -period 2,194.69,18785.24,4566.75,14218.49
moheft_energy,spread -period 2,195.77,34837.46,5313.79,29523.67
moheft_energy,spread -period 2,196.6,33614.27,5344.96,28269.31
moheft_energy,spread -period 2,355.98,9742.02,4721.03,5020.99
moheft_green_energy,spread -period 2,195.25,33565.23,5506.14,28059.09
moheft_green_energy,spread -period 2,400.19,34577.77,12845.88,21731.89
moheft_green_energy,spread -period 2,414.24,34937.54,13205.72,21731.82
heft_test,stencil_1d,196.29,18890.49,4666.11,14224.38
moheft_energy,stencil_1d,196.52,31443.22,5600.97,25842.25
moheft_energy,stencil_1d,351.44,9996.41,4760.7,5235.71
moheft_energy,stencil_1d,351.45,9979.27,4743.57,5235.71
moheft_green_energy,stencil_1d,196.92,30352.13,5802.29,24549.84
moheft_green_energy,stencil_1d,327.48,31936.59,10380.01,21556.58
moheft_green_energy,stencil_1d,608.66,12985.07,12931.18,53.89
heft_test,stencil_1d_periodic,193.9,18748.64,4581.79,14166.84
moheft_energy,stencil_1d_periodic,193.91,32259.42,5962.03,26297.39
moheft_energy,stencil_1d_periodic,194,31795.73,5966.19,25829.55
moheft_energy,stencil_1d_periodic,352.53,10034.46,4718.6,5315.87
moheft_green_energy,stencil_1d_periodic,195.3,36078.77,6250.79,29827.98
moheft_green_energy,stencil_1d_periodic,359.02,35913.86,12204.81,23709.05
moheft_green_energy,stencil_1d_periodic,598.51,13506.01,13324.17,181.84
heft_test,tree,192.88,16876.34,4795.94,12080.4
moheft_energy,tree,193.96,31081.65,5670.82,25410.83
moheft_energy,tree,356.97,10683.78,4399.57,6284.22
moheft_energy,tree,360.92,10683.53,4409.15,6274.38
moheft_green_energy,tree,193.3,30931.78,5645.42,25286.37
moheft_green_energy,tree,286.04,30270.98,8527.89,21743.08
moheft_green_energy,tree,715.88,12749.71,12741.65,8.06
heft_test,trivial,176.24,18513.53,4446.97,14066.56
moheft_energy,trivial,177.3,28574.38,4868.69,23705.69
moheft_energy,trivial,364.89,10193.51,4505.19,5688.32
moheft_energy,trivial,374.72,10130.54,4365.76,5764.78
moheft_green_energy,trivial,176.24,32043.39,6948.16,25095.24
moheft_green_energy,trivial,180.2,30953.19,7436.56,23516.63
moheft_green_energy,trivial,180.64,30871.18,7449.35,23421.83
